taxon_code,Habitat
ACaca,Benthos
ACcoa,Benthos
ACmin,Benthos
AHspp.,Benthos
AHato.aff,Benthos
AHgum,Benthos
ACjac,Benthos
AHric.aff,Benthos
AHaff,Benthos
AHalt,Benthos
AHcal,Benthos
AHpfi,Benthos
AHros.cf,Benthos
AHmin,Benthos
AHsap,Benthos
PSsco,Benthos
AHsp.1,Benthos
AHsp.4,Benthos
AHsp.,Benthos
ADsp1,Benthos
ADbry,Benthos
ADmin,Benthos
ADmur,Benthos
ADsp,Benthos
ADsp.1,Benthos
ALkri,Benthos
AMlib.cf,Benthos
AMcim,Benthos
AMina,Benthos
AMlanten,Benthos
AMlyb,Benthos
AMmon,Benthos
AMolig,Benthos
AMova,Benthos
AMped,Benthos
AMsp.,Benthos
AMspp.,Benthos
AMven,Benthos
ASfor,Plankton
AUalp,Tychoplankton.AU
AUamb,Tychoplankton.AU
AUcrassi,Tychoplankton.AU
AUdis,Tychoplankton.AU
AUgra,Tychoplankton.AU
AUgraang,Tychoplankton.AU
AUita,Tychoplankton.AU
AUniv,Tychoplankton.AU
AUnyg,Tychoplankton.AU
AUper,Tychoplankton.AU
AUpusilla,Tychoplankton.AU
AUspp.,Tychoplankton.AU
AUsba,Tychoplankton.AU
BApax,Benthos
BRint.af,Benthos
BRneg.af,Benthos
BRbre,Benthos
BRzel.cf,Benthos
BRneg,Benthos
BRneo,Benthos
BRpro,Benthos
BRser,Benthos
BRsp.,Benthos
BRspp.,Benthos
CAaer,Benthos
CAwes.af,Benthos
CAbac,Benthos
CAhya,Benthos
CAlep,Benthos
CAmol,Benthos
CAsil,Benthos
CAsp.,Benthos
CAsp1,Benthos
CAsp.1,Benthos
CAspp,Benthos
CAten,Benthos
CAund,Benthos
CAunl,Benthos
CAvas,Benthos
CPhib,Benthos
CVcoc,Benthos
CVlap,Benthos
CVsp_C,Benthos
CVvar,Benthos
CVvar1,Benthos
CQbeg,Benthos
CQeva.aff,Benthos
CQobs.cf,Benthos
CQeva,Benthos
CQhas,Benthos
CQmed,Benthos
CQmus,Benthos
CQobs,Benthos
CQsoe,Benthos
CQsp1,Benthos
CQsp,Benthos
CQsp.,Benthos
CQsp.1,Benthos
CQsub,Benthos
CCeug,Benthos
CClin,Benthos
CCped,Benthos
CCpla,Benthos
CCsp.,Benthos
CCsp1,Benthos
CSpus,Benthos
CRmol,Benthos
CRmlt,Benthos
CRsp.,Benthos
CRsmn,Benthos
CRsml,Benthos
CYato,Plankton
CYiri,Plankton
CYmen,Plankton
CYsp.,Plankton
CYsp.1,Plankton
CMcym.af,Benthos
CMneo,Benthos
CMsp.,Benthos
CMsp.1,Benthos
CMvari,Benthos
CNdil,Benthos
DEsub,Benthos
HUaero,Benthos
HUconbic,Benthos
DPsep.cf,Benthos
DPobl,Benthos
DPova,Benthos
DPpse,Benthos
DPsp,Benthos
DPsp.,Benthos
DPsp2,Benthos
DTpse,Plankton
DTwol,Plankton
ECsil.aff,Benthos
ECalp.aff,Benthos
ECvul.aff,Benthos
ECama,Benthos
ECagc,Benthos
ECnme,Benthos
ECgae,Benthos
ECmin,Benthos
ECneo,Benthos
ECper,Benthos
ECros,Benthos
ECsil,Benthos
ECsp,Benthos
ECsp.,Benthos
ECsp1,Benthos
EYkra.aff,Benthos
EYsbm.af,Benthos
ECces,Benthos
EYfal,Benthos
EYneo,Benthos
EYsp.,Benthos
EYsp1,Benthos
EYsp,Benthos
EOsp1,Benthos
EOsp2,Benthos
EPadn,Benthos
EPamp,Benthos
EPsmi,Benthos
EPsor,Benthos
EPsp,Benthos
EPtur,Benthos
EUsp.,Benthos
EUbid.aff,Benthos
EUbil.aff,Benthos
EUber,Benthos
EUbdt,Benthos
EUbig,Benthos
EUbil,Benthos
EUbor,Benthos
EUbrt,Benthos
EUbot,Benthos
EUdio.cf,Benthos
EUgro.cf,Benthos
EUisl.cf,Benthos
EUmin.cf,Benthos
EUcur,Benthos
EUdio,Benthos
EUexi,Benthos
EUexiten,Benthos
EUfab,Benthos
EUfal,Benthos
EUgla,Benthos
EUimp,Benthos
EUinc,Benthos
EUint,Benthos
EUisl,Benthos
EUkru,Benthos
EUmei,Benthos
EUmin,Benthos
EUmuco,Benthos
EUnae,Benthos
EUnym,Benthos
EUpal,Benthos
EUpec,Benthos
EUpra,Benthos
EUrho,Benthos
EUsp_A,Benthos
EUsp,Benthos
EUsp.1,Benthos
EUsub,Benthos
EUten,Benthos
EUtet,Benthos
EUtri,Benthos
EUval,Benthos
EUzas,Benthos
FAmac,Benthos
FAvit,Benthos
FIsap,Benthos
FRaci,Benthos
FRcap.agg,Benthos
FRcapdis,Benthos
FRfam,Benthos
FRneo,Benthos
FRpar,Benthos
FRpec,Benthos
FRper,Benthos
FRrad,Benthos
FRrum,Benthos
FRsp,Benthos
FRvau,Benthos
FGvir.a,Benthos
FRcro,Plankton
FRgra,Plankton
FRnan,Plankton
FRten,Plankton
FRten.mf1,Plankton
FRten.mf2,Plankton
FScra,Benthos
FSeri,Benthos
FSrho,Benthos
FSsax,Benthos
FSsp.,Benthos
FSvul,Benthos
GEdec,Benthos
GGexi,Benthos
GOaci,Benthos
GOacu,Benthos
GOafi,Benthos
GOang,Benthos
GOafiins,Benthos
GOita,Benthos
GOcla,Benthos
GOcom,Benthos
GOexg,Benthos
GOexi,Benthos
GOgra,Benthos
GOheb,Benthos
GOlat,Benthos
GOmit,Benthos
GOpal,Benthos
GOpar.mf1,Benthos
GOpar.mf2,Benthos
GOpar.mf3,Benthos
GOprv,Benthos
GOpsa,Benthos
GOpseu,Benthos
GOpum,Benthos
GOsp.,Benthos
GOsp2,Benthos
GOsp3,Benthos
GO_sp1,Benthos
GO_sp2,Benthos
GOsp,Benthos
GOspp,Benthos
GOsbc,Benthos
GOtru,Benthos
GRsol,Benthos
HLspp.,Benthos
HLthu,Benthos
HLven,Benthos
HLsp1,Benthos
HAamp,Benthos
HIcox,Benthos
HIcap,Benthos
HUbre,Benthos
HUcon,Benthos
HUpar,Benthos
HUper,Benthos
HUsp,Benthos
HUsp.,Benthos
KVcar,Benthos
KVcle,Benthos
KVobl,Benthos
KBmic,Benthos
KBpar,Benthos
KBsub,Benthos
LDoce,Plankton
LUaci,Benthos
LUgoe,Benthos
LUmut,Benthos
LU_spA,Benthos
MYagr,Benthos
MYato,Benthos
MYfos,Benthos
MYfosobs,Benthos
MYper,Benthos
MEvar,Benthos
MImac,Benthos
MIkra,Benthos
MIkue,Benthos
MInau,Benthos
NAweb.cf,Benthos
NAang,Benthos
NAcar,Benthos
SFarv.cf,Benthos
NAcry.cf,Benthos
NEelg.cf,Benthos
FAind,Benthos
NAmen,Benthos
NAcin,Benthos
NAcry,Benthos
NAcph,Benthos
NAcrt,Benthos
NAdfs,Benthos
SFdif,Benthos
NAelg.cf,Benthos
NAeri,Benthos
NAgre,Benthos
NAlep,Benthos
NAlon,Benthos
NAnot,Benthos
NArad,Benthos
NArfa,Benthos
NArcs,Benthos
NArei,Benthos
NArhy,Benthos
SFrot,Benthos
NAsch.sym,Benthos
NAsp,Benthos
NAsp10,Benthos
NAsp2,Benthos
NAsp3,Benthos
NAsp7,Benthos
NAsp8,Benthos
Navicula sp.11,Benthos
SFhar.aff,Benthos
NAspp.,Benthos
NAsub,Benthos
NAten,Benthos
NAven,Benthos
NAvil,Benthos
NAvir,Benthos
NArst,Benthos
NAwil,Benthos
NAvau,Benthos
NAsp.,Benthos
NEaff,Benthos
NEalp,Benthos
NEamp,Benthos
NEdub,Benthos
NEher,Benthos
NElon,Benthos
NEper,Benthos
NEsep,Benthos
NIabb,Benthos
NIaci,Benthos
NIpsf.aff,Benthos
NIarc.a,Benthos
NIpus.af,Benthos
NIsbt,Benthos
NIamp,Benthos
NIbre,Benthos
NAcap,Benthos
NAclau,Benthos
NIdis,Benthos
NIfilcnf,Benthos
NIfil,Benthos
NIfon,Benthos
NIfru,Benthos
NIgra,Benthos
NIinc.a,Benthos
NIintact,Benthos
NIlac,Benthos
NIlin,Benthos
NImic,Benthos
NInan,Benthos
NIpal,Benthos
NIpal.deb,Benthos
NIpal.ten,Benthos
NIplc,Benthos
NIplf,Benthos
NIper,Benthos
NIpfn,Benthos
NIsca,Benthos
NIsoc,Benthos
NIsor,Benthos
NIsp.,Benthos
NIsp1,Benthos
NIsba,Benthos
NIter,Benthos
NIumb,Benthos
NIval,Benthos
NUpen,Benthos
NUsp.,Benthos
NUvit,Benthos
NUimp,Benthos
NUsp_A,Benthos
ODhye,Benthos
ODmes,Benthos
ORros,Benthos
PBpro,Benthos
PIsp_3cl,Benthos
PIsp_4cl,Benthos
PIacr,Benthos
PIacu,Benthos
PIsubelo.aff,Benthos
PIapp,Benthos
Plbice,Benthos
PIbor,Benthos
PIbremin,Benthos
PIbre,Benthos
PIsubsbr.cf,Benthos
PIpul,Benthos
Pdig,Benthos
PIdig,Benthos
PIdub,Benthos
PIgib,Benthos
PIgru,Benthos
Plhem,Benthos
PIint,Benthos
PImai,Benthos
PImic,Benthos
PImicros,Benthos
PIneo,Benthos
PIobs,Benthos
PIpir,Benthos
PIpmi,Benthos
PIpsg,Benthos
PIrhe,Benthos
PIrup,Benthos
PIsap,Benthos
PIspt,Benthos
PIsch,Benthos
PIsim,Benthos
PIsin,Benthos
PIsp.,Benthos
PIsp1,Benthos
PIsto,Benthos
PIsub,Benthos
PIsubelo,Benthos
PIsgb,Benthos
PIsbgund,Benthos
PIsru,Benthos
PItir,Benthos
Plviri,Benthos
PIvir,Benthos
PCelg,Benthos
PCign,Benthos
PCsp.,Benthos
PTdau,Benthos
PTdel,Benthos
PTeli,Benthos
PTeng,Benthos
PTfre,Benthos
PTgra,Benthos
PThau,Benthos
PTlan,Benthos
PTmin,Benthos
PTpum,Benthos
PTsp.,Benthos
PTsp1,Benthos
PLhus,Benthos
PLcon,Benthos
PLlut,Benthos
PLobl,Benthos
PLsp.,Benthos
PSsba,Benthos
PSalt,Benthos
PShel,Benthos
PSlev,Benthos
PSmar,Benthos
PSros,Benthos
PSsp.,Benthos
PDbre,Tychoplankton.FR
PDbreinf,Tychoplankton.FR
PDeli,Tychoplankton.FR
PDpar,Tychoplankton.FR
PDparsub,Tychoplankton.FR
PDpse,Tychoplankton.FR
PDrob,Tychoplankton.FR
PDsp1,Tychoplankton.FR
PDsp2,Tychoplankton.FR
PRsp1,Tychoplankton.FR
PDsp.,Benthos
PPsp.,Benthos
PSIsp1,Tychoplankton.FR
PKlan,Benthos
ROabb,Benthos
RPgib,Benthos
RPgbr,Benthos
RPope,Benthos
RPrup,Benthos
RPste,Benthos
RSpus,Benthos
SS_spA,Benthos
SSsbg,Benthos
SFato,Benthos
SFjou,Benthos
SFlae,Benthos
SLmin,Benthos
SFmut,Benthos
SFmts,Benthos
SFnig,Benthos
SFpsp,Benthos
SFpup,Benthos
SFrad,Benthos
SFrae.cf,Benthos
SFspr,Benthos
SFsau,Benthos
SFsem,Benthos
SFsp.,Benthos
SFsp1,Benthos
SFspp.,Benthos
SFsbr,Benthos
SFute,Benthos
SFute.aff,Benthos
SFvit,Benthos
SOexi,Benthos
SSaci,Benthos
SSlun,Benthos
SSagr,Benthos
SSanc,Benthos
SSgrr,Benthos
SSgra,Benthos
SSkri,Benthos
SSpho,Benthos
SSsp.,Benthos
SSthe,Benthos
SRconbin,Tychoplankton.FR
SRcon,Tychoplankton.FR
SApin,Tychoplankton.FR
SRpse,Tychoplankton.FR
SRsp.,Tychoplankton.FR
SRsp1,Tychoplankton.FR
SRcon.cx,Tychoplankton.FR
PDptd,Tychoplankton.FR
SRssa,Tychoplankton.FR
SRven,Tychoplankton.FR
SAmut.cf,Tychoplankton.FR
SAazo,Tychoplankton.FR
SAlap,Tychoplankton.FR
SAlep,Tychoplankton.FR
SAmar,Tychoplankton.FR
SAmut,Tychoplankton.FR
SAold,Tychoplankton.FR
SApintri,Tychoplankton.FR
SAsp.,Tychoplankton.FR
SNdel,Benthos
SThan,Benthos
STpar,Benthos
STsp.,Benthos
SUang,Benthos
SUbis,Benthos
SUgru,Benthos
SUlin,Benthos
SUrob,Benthos
SUrot,Benthos
SUsp.,Benthos
SUter,Benthos
TAflo,Benthos
TAflo.mf1,Benthos
TAflo.mf2,Benthos
TBfas,Benthos
TYdeb.af,Benthos
TYlit,Benthos
TYsp,Benthos
TYsp.,Benthos
ULacu,Plankton
ULbic,Plankton
ULeri,Plankton
ULdan,Plankton
ULdel,Plankton
ULsp.,Plankton
ULuln,Plankton
ULuln1,Plankton
ULuln2,Plankton
UReri,Plankton