YEAR,P_tot
1873,934.6
1874,863.8
1875,1172.6
1876,1113.5
1877,996.2
1878,982
1879,1097.9
1880,1183.2
1881,1160.3
1882,648.8
1883,953.8
1884,928.6
1885,798.2
1886,1000.9
1887,1388.1
1888,1123.8
1889,712.7
1890,506.4
1891,954.2
1892,1017.9
1893,1201.1
1894,857.8
1895,1255.7
1896,837.9
1897,767.4
1898,709.9
1899,1144.5
1900,752.4
1901,922.6
1902,1099.7
1903,723.9
1904,942.3
1905,854.6
1906,675.4
1907,742.4
1908,785.2
1909,763.1
1910,617.7
1911,807
1912,837.7
1913,637.4
1914,862.1
1915,811.2
1916,895
1917,966.5
1918,774.3
1919,1186.9
1920,770.9
1921,881.9
1922,663.2
1923,588.3
1924,807
1925,983.4
1926,846.8
1927,903.8
1928,704.7
1929,870.2
1930,591.6
1931,815.7
1932,901.1
1933,1221.3
1934,910.5
1935,550.8
1936,916.6
1937,1064.2
1938,830.8
1939,870.8
1940,1310.5
1941,1200
1942,1060.3
1943,736.5
1944,1111.7
1945,1191.3
1946,801.1
1947,1075.9
1948,1185.3
1949,895.4
1950,845.7
1951,1016
1952,1021
1953,1137.6
1954,869.5
1955,970.7
1956,946.3
1957,956.7
1958,941.9
1959,992.6
1960,1181.2
1961,1124.1
1962,1000.6
1963,1298.8
1964,1057.9
1965,917
1966,1340.1
1967,882.4
1968,1200.5
1969,968.3
1970,889.8
1971,889
1972,787.5
1973,795.9
1974,906.9
1975,964.8
1976,1151.8
1977,1083.9
1978,1153
1979,995.4
1980,1159.8
1981,926
1982,1001.6
1983,997
1984,874.9
1985,1145.2
1986,844.7
1987,1458.7
1988,820.4
1989,1143.9
1990,1021.3
1991,808.3
1992,850.4
1993,994.7
1994,773.8
1995,1017.6
1996,1337.4
1997,1463.3
1998,876.6
1999,837.5
2000,905.1
2001,1411.6
2002,1111
2003,1096.7
2004,1099
2005,1128.8
2006,1239.5
2007,1153.1
2008,758.6
2009,953.6
2010,1691.4
2011,777
2012,929.6